,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
public,"['45', '55', '99', '153', '560', '755', '850']",[],[],['2229'],[],[],['2'],[],[],[]
law,"['46', '56', '100', '154', '561', '756', '851']",[],[],['951'],"['148', '175', '955', '1507', '1558', '1589', '1808', '1915', '1933', '2204', '2232', '2286', '2970', '3158', '3173', '3194', '3219', '3224', '3251', '3276', '3284', '3308', '3348', '3373', '3380', '3398', '3419', '3446', '3497', '3503', '3530', '3816', '4024', '4170', '4337', '4468', '4626', '4707', '4867', '4929', '4982', '5006', '5008', '5045', '5694', '6536', '6902']",[],"['431', '443']",[],[],"['1360', '1374']"
natcher,['47'],[],[],[],[],[],[],[],[],[]
roslehtinen,['48'],[],[],[],[],[],[],[],[],[]
stenholm,['49'],[],[],[],[],[],[],[],[],[]
emerg,['51'],[],[],[],[],[],[],[],[],[]
deficit,['52'],[],[],[],[],[],[],[],[],[]
control,['53'],[],[],['2269'],['2552'],[],[],[],['739'],[]
amended,"['57', '890']",[],[],[],[],[],[],[],[],[]
neal,"['58', '65']",[],[],[],[],[],[],[],[],[]
ma,"['59', '473']",[],[],[],[],[],[],[],[],[]
rose,['60'],[],[],[],[],[],[],[],[],[]
stoke,['61'],[],[],[],[],[],[],[],[],[]
stat,"['63', '115', '163', '757', '857']",[],[],[],[],[],['605'],[],[],[]
strik,['64'],[],[],[],[],[],[],[],[],[]
nc,"['66', '267', '520', '768']",[],[],[],[],[],[],[],[],[]
rostenkowski,['67'],[],[],[],[],[],[],[],[],[]
studd,['68'],[],[],[],[],[],[],[],[],[]
report,"['69', '123', '135', '274', '299', '409']",[],[],"['1497', '1657', '1678']",[],['401'],[],[],"['368', '383', '403', '413', '508', '516']","['467', '1124']"
requirements,['70'],[],[],[],[],[],[],[],[],[]
not,"['71', '216', '613']",[],[],[],"['2838', '2892', '5178']",['378'],[],[],[],[]
le,['72'],[],[],['354'],"['5782', '5814', '6010']",[],[],[],"['197', '406', '574']",[]
ing,"['73', '150']",[],[],[],['3202'],[],[],[],[],[]
contain,['74'],[],['31'],[],"['1170', '1874', '4253', '4430', '4651', '5831', '6165', '6180', '6198', '6208', '6679']",[],['238'],['214'],[],['305']
hr,"['75', '130', '176']",[],[],[],[],[],[],[],[],[]
pass,"['76', '131']",[],[],[],[],[],[],[],[],[]
nichol,['77'],[],[],[],[],[],[],[],[],[]
roukema,['78'],[],[],[],[],[],[],[],[],[]
sundquist,['79'],[],[],[],[],[],[],[],[],[]
day,"['80', '218']",[],[],"['1009', '1118']","['740', '868', '1370', '2072', '2093', '6837']",['1041'],[],[],"['183', '199', '370', '392', '408', '466', '565', '576', '670', '698', '774']",[]
oblig,"['81', '133', '172', '190', '208']",[],[],[],"['2777', '4955']",[],[],[],[],[]
fund,"['82', '169', '209', '398']",[],[],[],['5242'],['656'],[],[],[],[]
senat,"['83', '140', '500']",[],[],[],[],[],[],[],[],[]
novemb,"['84', '141']",[],[],[],"['3639', '3760', '3863', '3919', '3996', '4053', '4306', '4495', '4661', '4733', '4818']",[],[],[],[],[]
nussl,['86'],[],[],[],[],[],[],[],[],[]
rowland,['87'],[],[],[],[],[],[],[],[],[]
swett,['88'],[],[],[],[],[],[],[],[],[]
secretari,"['90', '105', '201', '239', '250']",[],[],[],[],[],[],[],[],[]
defens,"['91', '202', '240', '355']",[],[],['29'],"['1002', '1180', '1184', '1199', '2441']",[],[],[],[],['216']
oakar,['92'],[],[],[],[],[],[],[],[],[]
roybal,['93'],[],[],[],[],[],[],[],[],[]
swift,['94'],[],[],[],[],[],[],[],[],[]
titl,"['97', '558', '753', '848']",[],[],[],"['4572', '6783']",[],[],['10'],[],[]
ii,"['98', '559', '754', '849']",[],[],"['472', '1327', '1370', '1392', '1411', '1603', '1892', '2317', '2464', '2499']","['218', '3846', '3853', '3929', '3943', '3991', '4010', '4034', '4122', '4144', '4532', '4554', '4796', '5824', '6157', '6414', '6434', '6513']",[],[],[],['649'],['732']
oberstar,['101'],[],[],[],[],[],[],[],[],[]
russo,['102'],[],[],[],[],[],[],[],[],[]
