,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
pass,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nichol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roukema,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sundquist,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
oblig,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fund,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
senat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
novemb,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nussl,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rowland,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swett,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
secretari,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
defens,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
oakar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roybal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swift,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
titl,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ii,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
oberstar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
russo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coordin,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
en,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
obey,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sabo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tanner,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ergi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shall,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
transmit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
committe,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
olver,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sander,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
